Date,Reliance Industries,ONGC,Bharat Petroleum,Indian Oil Corporation,Nifty 50
2018-04-11,2367.748047513192,768.0253182249867,1254.251733224609,741.4436008872012,231.76778207337
2018-04-12,2362.2792060645766,766.3387662078065,1258.3093597396576,745.4310376954062,232.69110204047934
2018-04-13,2388.097102584182,769.5010994933958,1218.4846869590033,732.582590766627,233.17944305094503
2018-04-16,2383.5185100089857,765.2846551126102,1226.900521902201,731.0319406146067,234.24181722996843
2018-04-17,2401.83271051216,762.3331569136271,1234.264274287187,740.7790365363354,234.6945907802929
2018-04-18,2385.9350696058777,767.8145474762157,1217.8836148575244,730.8104191643181,234.19399561740235
2018-04-19,2396.8727525031086,775.6149309779681,1131.7720792010869,699.7969597968229,235.06391007624842
2018-04-20,2360.2441816991495,768.8686585714121,1116.293073786003,709.3224835652532,235.0360992338656
2018-04-23,2380.8477633887273,763.3872680088235,1146.1991855074023,716.4113220835185,235.49554304091788
2018-04-24,2467.458638097936,770.1335404153795,1153.26244770401,722.392451944321,236.1552031859058
2018-04-25,2468.603413589943,756.6409312644323,1159.574209255506,711.5377487711493,235.18071561425623
2018-04-26,2480.940059002547,762.3331569136271,1158.672555240927,713.9745354273339,236.23196545632646
2018-04-27,2534.229341175719,761.9114867404145,1172.6487428152313,721.7278875934552,237.88949166234207
2018-04-30,2450.289213086769,761.2790458184307,1164.2329995967552,719.0695794869819,238.93628742418693
2018-05-02,2474.199433449047,759.1708236280379,1144.996949579723,713.9745354273339,238.46239501542797
2018-05-03,2445.9649773325496,763.59810309543,1135.228633614657,716.4113220835185,237.60805897376036
2018-05-04,2426.506171134979,760.014099636628,1142.742722818554,715.5251855793541,236.24198170502842
2018-05-07,2469.875197694828,775.4040958913616,1159.574209255506,727.9305896075562,238.40566524241115
2018-05-08,2459.9549420815047,772.0309918570014,1180.0125869249391,737.8992069795736,238.45683284695141
2018-05-09,2484.3738760857364,770.976880761805,1158.5223101467377,740.7790365363354,238.988584844199
2018-05-10,2495.6930942144327,793.7456546829137,1172.7990796341421,744.1019089936746,238.42902200456857
2018-05-11,2516.29667590401,790.5833213973244,1200.15029095655,749.1969530533225,240.4302945678798
2018-05-14,2509.555880552899,789.529210302128,1214.8779791759657,746.0956020462721,240.4325107443822
2018-05-15,2490.097074355329,796.9079879685031,1219.6869228866826,740.7790365363354,240.3268295433275
2018-05-16,2432.1020211964724,785.101930834736,1197.2949920939022,735.2408988731003,238.9752226035229
2018-05-17,2404.630805340517,795.221435951323,1174.0013155618215,729.9243333631636,237.6759130837303
2018-05-18,2375.378921940112,780.2530455319666,1161.2273639151963,725.272281501083,235.75585687106516
2018-05-21,2369.0198316180768,783.2045437309495,1183.7696315268875,731.6965049654725,233.98263321529296
2018-05-22,2357.3190782579145,780.8854864539502,1195.0407653327331,711.0947058705719,234.42760669341794
2018-05-23,2320.43632043059,739.564318654683,1123.9574998088112,680.0812465030768,232.061447187156
2018-05-24,2329.5933357833715,707.0977097901999,1116.142828691814,690.71442822596,233.91921145832777
2018-05-25,2342.1843380169526,739.7751537412893,1143.7946219273222,724.1646742496398,235.95053276774482
2018-05-28,2341.166910733045,740.4076590011084,1208.2655439866476,755.1781336171349,237.8082970389166
2018-05-29,2333.6632147166133,740.1968239145021,1218.334441864814,764.0391437377093,236.57681990187336
2018-05-30,2330.2292278358136,733.6613222567172,1203.0056815439198,756.7288344721652,236.1552031859058
2018-05-31,2343.583470329937,750.1054296066474,1214.126570255576,771.3494530032533,238.86510904946343
2018-06-01,2366.984977050261,730.2881538845215,1230.056402677949,763.5961008371321,237.97627018146468
2018-06-04,2393.1844088013318,721.4336592875727,1227.80217591678,770.0203243015217,236.47003061256746
2018-06-05,2410.481182020598,721.8552651229501,1218.334441864814,770.6848886523876,235.6835486808698
2018-06-06,2427.6507768293754,718.0604909153769,1232.3106294391182,774.8938469108812,237.71930234329162
2018-06-07,2470.765446568247,727.9690966075223,1250.4946886226603,774.4508040103038,239.58149896746815
2018-06-08,2503.8328520809173,732.3963760749143,1231.8598024318287,775.3368898114584,239.56594227751026
2018-06-11,2499.5086163266983,730.7098240577342,1245.5354080930326,766.9189732944711,239.99533733845678
2018-06-12,2536.391374154023,722.6985411315401,1247.6393897600126,771.5709744535419,241.23902517348372
2018-06-13,2549.999803671513,716.7955447335742,1262.0664043416064,775.7799327120355,241.5471823434176
2018-06-14,2563.8627598075896,710.4708781623956,1251.3964343619612,760.0517069295043,240.4647756669904
2018-06-15,2579.7604007138716,697.610709933432,1239.0733097226257,743.2158231925201,240.67948406107394
2018-06-18,2583.1943875946713,694.0267708124654,1271.6844752124832,770.4633672020989,240.28233219551498
2018-06-19,2533.5934491232765,694.8700468210556,1243.1309362376744,746.9817385504365,238.29331378462874
2018-06-20,2592.60575976843,686.2263229728777,1234.4146111060982,732.8041122169155,239.6638234063654
2018-06-21,2624.9100948181695,673.3661547439141,1268.2280125236348,754.2920478159806,238.9752226035229
2018-06-22,2575.436334757263,672.7337138219303,1281.4527911775494,753.1844405645375,240.77180302145246
2018-06-25,2554.959931478174,660.5059865149506,1238.3219008022359,741.4436008872012,239.45024482775366
2018-06-26,2490.097074355329,667.4631583459483,1248.090216767302,739.0068142310166,239.59931528836967
2018-06-27,2456.7754818192925,658.8194344977704,1150.5573022108297,689.606770271507,237.4245074140338
2018-06-28,2403.613378056609,647.2242124506097,1102.9180500378995,683.8471618609932,235.59342416977302
2018-06-29,2473.563371598994,667.8847641813256,1122.0037632360206,691.1574711265372,238.37896248827954
2018-07-02,2443.421239325169,655.6571012121811,1109.6807303214068,680.9673323042313,237.1107880756233
2018-07-03,2470.638268157759,664.9332659823426,1123.8071629899005,688.0561201194868,238.0585946203619
2018-07-04,2518.4587088823146,657.765323402574,1105.6231038063581,687.834598669198,239.61600179379934
2018-07-05,2453.3414949384924,659.4518754197541,1116.7439007932926,686.726991417755,239.16768232370015
2018-07-06,2486.5360788616513,655.4462661255747,1125.7608078379692,694.2588221335877,239.6771856470415
2018-07-09,2536.264195743535,663.6683198005398,1131.020670280697,696.9171302400609,241.46264172801799
2018-07-10,2609.012284114277,665.987377077539,1127.864789504949,687.834598669198,243.56179542018435
2018-07-11,2642.3340464479243,666.6198823373581,1101.5654772913092,684.7332476621476,243.58515218234177
2018-07-12,2753.1094983403873,670.2038214583248,1134.176642781167,694.9233864844535,245.25158654880806
2018-07-13,2797.4961219817546,649.7541048142152,1162.1290179297753,704.892003856471,245.15592159645533
2018-07-16,2737.4662142550824,648.4891586324125,1148.7539941816715,697.8032160412155,243.3304005206711
2018-07-17,2778.5460294261384,658.3977643245577,1180.1628320191282,728.595153958422,244.91451044824015
2018-07-18,2779.054743068092,675.8960471075196,1209.3175348201376,740.7790365363354,244.30045573931594
2018-07-19,2810.341481036313,682.0098785920919,1197.1446552749915,734.5763345222343,243.78093616727264
2018-07-20,2870.88027220255,665.987377077539,1168.7414531190934,713.5314925267566,244.96235378802686
2018-07-23,2849.640628662919,660.0843806795732,1171.2962617933626,719.9557159911462,246.6209880822936
2018-07-24,2825.8577565087403,662.8250437919497,1193.0871204846642,730.8104191643181,247.7234055289041
2018-07-25,2836.540912787384,670.6254916315376,1189.1797390638046,722.6139733946096,247.67223792436383
